State,Confirmed,Cured,Death
Andaman and Nicobar Islands,33,32,0
Andhra Pradesh,1717,589,36
Arunachal Pradesh,1,1,0
Assam,43,32,1
Bihar,536,142,4
Chandigarh,111,21,1
Chhattisgarh,59,36,0
Dadar Nagar Haveli,1,0,0
Delhi,5104,1468,64
Goa,7,7,0
Gujarat,6245,1381,368
Haryana,548,256,6
Himachal Pradesh,42,38,2
Jammu and Kashmir,741,320,8
Jharkhand,125,33,3
Karnataka,671,331,29
Kerala,502,462,4
Ladakh,41,17,0
Madhya Pradesh,3049,1000,176
Maharashtra,15525,2819,617
Manipur,2,2,0
Meghalaya,12,10,1
Mizoram,1,0,0
Odisha,175,60,1
Puducherry,9,6,0
Punjab,1451,133,25
Rajasthan,3158,1525,89
Tamil Nadu,4058,1485,33
Telengana,1096,585,29
Tripura,43,2,0
Uttarakhand,61,39,1
Uttar Pradesh,2880,987,56
West Bengal,1344,364,140
